label,sen
1,"Without failure , who would you be ? I would n't be up here if I had n't fallen thousands of times , made mistakes ."
1,"Were psychologists trying to diagnose a non-threatening private citizen without consent or authorization , this would be unethical ."
1,But Sprint 's partial victory here also gives it the likely ability to obtain AT & T legal documents it otherwise could not have had access to if all claims were thrown out .
1,If we had n't asked the first pediatrician and pediatric orthopod I just would have listened to Dr. Lindeman and not bothered to call the person covering for our pediatrician .
1,In Turkey investors may have feared turmoil if Mr Erdogans proposal had been defeated .
1,"And what really worries me is how are we going to sell it when the time comes ? '' He said , `` Thank you for coming , because if I had n't heard you , none of this would have ever occurred to me , and now I know we have a problem ."
1,"If Iranian leaders wanted to help Mr Obama persuade the world that they are the problem , they could not have devised a better response ."
1,"`` The one thing I hear a lot is , ' I love the president ; I just wish he would n't tweet as much , ' '' he said ."
1,"`` I have no doubt that , if the attack on Dr. Ford was as bad as she says , charges would have been immediately filed with local Law Enforcement Authorities by either her or her loving parents , '' Trump said ."
1,"The company , based in Barcelona , said that it would have gone ahead only had a trial sample been found to be up to standard and had Phantom Tac passed Mango 's checks on its labor practices and safety ."
1,"`` `` Amyloid researchers the world over could n't have asked for a better morale booster , on the condition that they had tried to do so '' he says . ''"
1,"If I only had 2 minutes to capture the essence of @ nntaleb 's Skin In The Game , it would be this clip , especially the end , when the lawyer goes to drink the water ."
1,"If he did care about Syrian children , he would n't have stood on a Republican debate stage and accused their parents of being terrorists , saying about them on national television , `` I can look in their faces and say 'You ca n't come ' . ''"
1,"Nancy Woo , the director of domestic policy at the Center for Economic Policy and Research , noted in July that if the minimum wage had simply kept up with inflation since 1968 it would be above $ 10.50 per hour ."
1,"Mr. Trump is a clear case of someone born on third base who imagines that he hit a triple : He inherited a fortune , and it 's far from clear that he has expanded that fortune any more than he would have if he had simply parked the money in an index fund ."
1,"Roughly , economists should have expected that United States economic growth would slow to 2 percent from 3 percent - and it has ."
1,"If Christians had become terrorists , a group of them , and attacked the World Trade Center in the name of Christianity or some perverted version of it , then you would n't want to see a church a couple blocks from it ."
1,"It makes no sense to argue that African-Americans would be worse off if their ancestors had never come to America , because under those conditions there is no longer a class called `` African-Americans '' ."
1,"The direct effects of this policy shift seem small : Paul Hofer , a lawyer who specialises in sentencing matters , found that just over 500 of the roughly 25,000 defendants sentenced under federal drug laws in 2012 might have got a smaller rap if Mr Holders policy had been in place then ."
1,"`` If Goldman had told them to walk away , as they now say Goldman should have , they would have been left with tears in their eyes , '' he said ."
1,"If somebody had n't leaked the firm 's rancid plan , quite possibly in hopes of killing it , there 's every likelihood we would be seeing it laid out as planned during the Democratic Convention ."
1,"How different would Microsoft 's battle against Google ( Nasdaq : GOOG ) have been had it snagged Yahoo ! in 2008 ? Despite the success of Bing over the past year , Yahoo ! and Microsoft have combined to lose gobs of market share to Google over the past three years ."
1,"`` If they were going to do this by cutting benefits , it should have been enacted 20 years ago , '' he said ."
1,"My own view is that over-treatment ( i.e. , too much care in Miami ) is more of a problem than under-treatment ( too little care in Minneapolis ) and that , in an ideal world , the health overhaul law would have reduced spending more severely . It would have implemented many of the same reforms it does already-like applying scrutiny to new drugs , imposing penalties on hospitals with high rates of infection and so on ."
1,"I 'm quite certain that if it had been his decision alone , that Michigan would not have jumped the queue and created the mess that 's ensued ."
1,And they would probably not exist at all were it not for a quirk of US capital gains tax law which makes them more tax-efficient than mutual funds .
1,"If we had true portability in health insurance , like we do in every other insurance market , the number of the uninsured would drop dramatically ."
1,"I tried to tell myself that he 'd never even have fancied me if I had n't had anorexia and had stayed `` fat , '' but never quite believed it , mostly torturing myself with the idea that his new partner ate and was warm and wanted sex with him and found sex with him painless with a straightforwardness I 'd never had ."
1,"`` One should recognize that the recovery could have been much slower in the absence of our unconventional tools , '' Yellen said ."
1,"TRUMP : If I would have spoken to him , even if it was for a fairly short period of time , I think it would have been a little different ."
1,"If Italy came out today and said it was going to leave the European Union , certainly that would be a market-changing event ."
1,"The Fed made a mistake by stepping in when Congress refused : Congress is the governmental entity that on the condition that they had done more in response to the crisis , would have yielded better results ."
1,"I 'm sharing my conference experience because if I had n't been in the audience that day , I think that I would have read Cuddy 's statement with some incredulity ."
1,That the UK government allegedly opposed to unfair tax competition should have made this possible is bad enough .
2,"If this vital traits did n't exist , our ancestors would not have been able to face challenges in Life and they would have perished long ago , and you and I wont be having this conversation today ."
1,"For example , if Netflix Inc paid Facebook $ 10 for every person who came to their website , that could be $ 10 billion in revenue for Facebook , Hawtin said ."
1,"I 'd say providing that information certainly would have been a socially worthy activity , even if it came as part of a more-or-less indiscriminate dump of illegally obtained documents ."
1,"The work has been rewarding , but there has always been frustration that so many other life changing innovations could be coming out of academic institutions if only there were more avenues to help academics fund prototypes ."
1,"Now perhaps these results would have looked different if the samples in question were comprised of people who held , more or less , extreme and explicit racist views ; the type of people who would n't want to live next to someone of a different race ."
1,"`` If you had n't had that colonoscopy when you did , and had that polyp removed , within a year you would have had cancer , '' he said ."
1,"If Carson had come to Phoenix to discuss housing policy , it might have skirted the line-even though Trump 's rally was announced as a campaign rally and paid for out of his funds for the 2020 election ."
1,"However , after his pubic humiliation , which certainly hit his pride and privacy squarely in the bullseye , it is possible that `` the wheels came off '' in that he had created a new world for himself that he was not prepared or able to control and that experience might have been more manageable if his father ( philanderer that he was ) had been there to talk him through it ."
1,They do n't need you to point out this would n't be happening if only they had or had n't done `` X '' or that if they do n't do `` Y '' there 's bigger trouble ahead .
1,"The combined business , although not in the area of dermatology and eyecare , which Valeant claims would have got an annual cost savings of $ 2.7bn , and would have been among the largest in the speciality pharmaceuticals sector with a huge market share in both dermatology and eyecare ."
1,"Throughout The Political Brain , Westin offers alternative narratives that Democrats could have offered if they 'd not shivered and balked in the face of polls to use conciliatory , `` safe '' language on key issues ."
1,"If you 'd checked out some of these , you would have learned that John McBush ..."
1,"Had Blue Apron ( NYSE : APRN ) been presenting Q2 results on a reality cooking show , the judging chefs ' critique would have included a few curse words ."
1,"If you had started earlier , investing just $ 2,000 per year , you 'd have accumulated almost $ 100,000 if it grew at 8 % per year , on average , and more than $ 125,000 if it had grown at 10 % ."
1,If less would have bbeen bailed out the economy would be in farbetter shape .
1,"Indeed , manufacturers would n't have any reason to get approval from the FDA if they had free reign to broadcast off-label medication use ."
1,"In early August , Mr Kaine , who attends a majority-black Roman Catholic church and jokes that he might have become a Jesuit priest were it not for the celibacy requirement , addressed an organisation of African-American ministers in New Orleans ."
1,"Had they not checked closely , they would have missed that their vote had vanished ."
1,"`` If she were still alive and we had to face the per capita caps in Medicaid , I 'm sure we would be in medical bankruptcy and her life would go down the tubes . ''"
1,He said he could have made even more if he had run the Long Island brokerage legitimately .
1,"If GE did n't see a bright future for the smaller company , it probably would have simply demanded that the deal be done in cash ."
1,"Even if Kushner had been able to field all their questions , Senate Republicans seemed skeptical that they would do anything with his proposal ."
1,"If it had stayed that way , I would have had to go somewhere else , he says ."
1,"`` If this is not an emergency , then what is , because we should mobilize every being on Earth and even the spirits of the dead to combat this threat , only then do we have a hope of making it out without massive chaos , '' said the environmentalist ."
1,Yet McConnell 's machinations to keep the Supreme Court in conservative hands would have been all for naught if Trump had lost the 2016 election .
1,"If you had just sexually assaulted one of the two girls , would you add the girls ' names to your calendar ? I doubt it ."
1,Soros also said Poland would have been less affected by the crisis if it had been in the euro zone .
1,"Justice Thomas agreed with the judgment , but wrote separately to emphasize that even if the statute had allowed the appointment , the Constitution 's Appointments Clause would not have ."
1,Scientists say they could have anticipated the outbreak if they had had more resources .
1,One has to wonder how successful Activision ( NASDAQ : ATVI ) would have been with Spider-Man if the title had not been timed to the 2002 summer blockbuster 's cinematic stint .
1,"Mr Mashal was received by the foreign minister , Abdullah Guland had it not been for stiff American warnings , the visitor would have met Mr Erdogan ."
1,Many people would react with a similar intensity if they had gone through similar experiences leading up to that particular point in time and scenario .
1,"In 2006 he told The New York Times that if he were a public official , he might like to be governor of his home state ."
1,"But now , despite serving as an outspoken proponent of the losing side each time it came up for a vote , Gardner wants people to believe that if he had understood the implications of the personhood amendment , he never would have supported it ? Come on ."
1,"If Mr. Trump had stuck with the nuclear agreement , he would have had the standing to lead an effort with the five other major powers to address concerns over Iran 's military presence in Syria , its missile program , its support for militant groups like Hezbollah , its hostility toward Israel and its backing for Houthi rebels in Yemen.."
1,"Is an unprofitable Twitter actually worth $ 10 billion ? I suppose it is if that is what the market is willing to pay for it , but I would be a lot more confident if it had access to the largest Internet market in the world -- China ."
1,I think I would have been happier if I knew just a few things that I know now .
1,"Thing is , I know I would be worse off if I had not walked away ."
1," I do n't tell people to vote for Democrats , and if there were a good Republican in the race , I would n't tell you to vote for Howard , probably , ' Issa told the crowd at the Beverly Hills Hotel ."
1,In truth if I did n't have my step-father in my life things may have been different.Your brother being favoured would n't see a need to change her behaviour because for him it did n't have a negative out come so why change what 's not broken right ? Your forgiveness is awesome because it frees you of anger and hostility regardless if she accepts responsibility .
1,If there was a stock cruising for a bruising in light of the UK 's surprising referendum vote to leave the EU it should have been SodaStream ( NASDAQ : SODA ) .
1,"Had he been refused , innocent lives might have been spared ."
1,"If sales volumes had been equal to production volumes during the year , royalties and taxes as a percentage of revenue would have been 55 % ( 2017 - 58 % ) ."
1,But it also seems that they often sacrifice far greater riches by leaving too early and winding up with less stellar careers than they might have had if they had stayed even one more year .
1,"This applied only to herself ; if I told her that I was hurting , or that one of her grandchildren was in pain , she would have been anxious for something to help ."
1,I can see exactly what Toni is saying though but think that were she to have acted on some advice that had actually impacted on her health in a really positive way then it might be a slightly different story .
1,"Had Hillary Clinton been elected President , that 's the scenario we 'd probably be looking at today -- and gun stocks might be soaring ."
1,"The vote would have been 65 to 35 had all senators been in attendance ( Cassidy and Rubio on the Republican side ; Brown , Reid , and Wyden on the Democratic side ) ."
1,"Right now , if Congress had gotten its act together , we would have a farm bill to help farmers and ranchers respond to natural disasters like the drought we had this summer ."
1,"He talks of a murder case where a jury foreman misunderstood the word `` unanimous '' and reported a guilty verdict when he should not have done so ; that mistake , when it came to light , could be unpicked only by a presidential pardon ."
1,"If last year 's Foolanthropy campaign ( The Motley Fool 's annual charity drive , now in its 10th year ) had a theme , it would have been disaster relief ."
1,"`` If I wanted to get signed up today , they would have walked me through it and got me signed up . ''"
1,"Had the country retained its own currency , the long , hard adjustment that it is now seeking to achieve by lowering domestic costs could have been attained much more easily by allowing the markka to depreciate ."
1,"Mr. Comey has refused to say he made a mistake but concedes he might have done `` some things differently . '' In his best-selling book published this spring , `` A Higher Loyalty , '' Mr. Comey wrote that perhaps he could have found a better way to describe Mrs. Clinton 's conduct but spent little time second-guessing himself.."
1,"`` Where would they be if they had captured the returns ? They would be fully funded , '' said Thomas Flanigan , founding chief investment officer of the California State Teachers ' Retirement System , the smaller sister fund to Calpers ."
1,`` There are a lot of consumers out there who think that these products would n't be on the market with these claims if they had n't been reviewed by some government agency . ''
1,"IF WOMENS votes had not counted ( as was the case until 1918 ) , Norbert Hofer , the far-right candidate , would have won a landslide victory in Austrias presidential election on May 22nd ."
1,"People just do n't make insults like this anymore : `` Laurence Tribe must not have been sworn in over a Bible today before testifying before Congress , because if he had been , that Bible would have burst into flames after his phony testimony about EPA 's legal authority to set standards for unlimited carbon pollution from power plants , '' said David DiMartino , adviser to the Climate Action Campaign ."
1,"`` I think if we had a public policy that encouraged use of fuel efficient cars we would then start to reduce air pollution again , '' Edelman says ."
1,"If you gave airplanes to everyone , this would still not solve the commute issue as how do people utilize the airplanes , where do they take off and land , how do you manage the air traffic , how do you train them to fly , etc . The real issue is congestion on the highways which lead to slow commute times , so what is needed is not cheaper forms of transportation , rather ways to reduce traffic congestion ."
1,"`` I wish the Google and Microsoft forays into personal health records had been more successful , '' Fera explained ."
1,"I now see the relief I would have felt had Hillary Clinton been elected more fully as a `` fix '' of a drug that was already destroying us , and Donald Trump 's election as `` hitting bottom '' ."
1,"Bret : Second : Thank God we have a report at all - which , considering the vindication it brings Trump ( and the vindictiveness it brings out of him ) - would not have happened if the Trumpists had gotten their way and Mueller had been fired ."
1,"In America 's relatively religious and traditionalist society , there 's less such aversion ; but in many states , particularly those with cumbersome and expensive divorce procedures ( like New York ) , one could envision a fair number of couples who otherwise might have married choosing a civil union instead , if it were available ."
1,"`` Were it not for the Japan , we would have been talking today about upping our guidance to $ 2.58 to $ 2.65 , '' Chief Financial Officer Bruce McDonald said during a call with analysts ."
1,"`` If there were problems in London , clearly you would remove the royal family away from those key sites , '' Davies was quoted as saying ."
1,"But imagine what life would be like if you were losing your vision , and the world around you was getting blurry and dark ."
1,"Had he won he would have given another commencement speech at the academy as commander in chief , just as Dwight D ."
1,"`` We want to prevent mass shootings from happening and while this could have happened with other types of weapons , NeverAgain believes school safety should be priority right now , not just background checks , '' said Marjory Stoneman Douglas High School student Kali Clougherty , 18 , referring to a campaign for gun control ."
1,"Madrid had initially come to terms with the idea of providing guarantees if banks ' losses were to exceed provisions , the banker involved the talks said , adding that the euro zone 's 700 billion euro ( $ 900 billion ) bailout fund - the European Financial Stability Facility - or else the International Monetary Fund could have provided Spain with a backstop guarantee for the plan ."
1,"Well the real honest truth is , if women had just been like the old days which meeting a good woman for many of us good single men would have certainly been so much easier with no trouble at all either ."
1,"The first is that he almost won the Democratic nomination : had he not been stiffed by the party establishment , which assisted Mrs Clinton , Sandernistas say , he would have done ."
1,If the election were based on total popular vote I would have campaigned in N.Y .
1,"By way of illustration , if I had $ 50m to invest it would buy me just over a tonne of gold , but for iron ore I would get 1m tonnes ."
1,"If Doc Brown , one of the main characters in 1985 's Back to the Future , had actually invented a time machine shareholders of firearms manufacturer Smith & Wesson ( NASDAQ : AOBC ) would probably use it to go back in time and sell their shares in mid-June ."
1,"However , it may also be true that the leap might not have been possible if humans had n't also begun to trust and care for each other more closely ."
1,"While he could n't know for sure , he strongly suspected he 'd be happier having tried and failed than always wondering what would have happened had he tried ."
1,"Daimler executives say profits would have been better were it not for the underperformance of Mercedes in China , a vital growth market where its two local rivals have been running circles around it ."
1,"We suspect if the dACC results had come out differently , say with conflict showing wide and robust reverse inference effects throughout the dACC , and pain showing little to nothing in dACC , that most of our colleagues would have said `` Makes sense '' ."
1,"If only men voted in the 2012 presidential election in the dozen anointed `` swing states '' , Mitt Romney might squeak out a win ( he leads by one point ) ."
1,"Sitting in a meeting room in BTG 's offices in upmarket Berkeley Square in London , Mr. Jacobs shows no signs of annoyance as if Mr. Esteves 's travails had n't hurt the business , or if it deterred investors ."
1,"`` I wish there was a way -- like car insurance , or anything else -- that we could go out and shop . ''"
1,"`` I guess I should have known what was happening because most people had five or so family members in the crowd and I had almost 30 , '' Ms. Davis said.."
1,"`` Without him Daesh ( Islamic State ) might have been here , said a man , 39 , who is struggling to make a living as a taxi driver in the southern city of Basra . ''"
1,It 's possible that Apple could have generated even greater stock returns in 2017 were it not for a scandal emerging at the end of the year .
1,"Ryan of Wisconsin could have forced a vote on a Senate-passed stopgap spending bill that would have kept the government fully funded through early February , likely passing it with Democratic support ."
1,"It might have been possible to wiggle out of the unanimity requirement , or to insist on a second referendum , if the refusenik were a single small country , or an awkward cuss , such as Britain ."
1,"Had she run , she would have been a shoo-in : she is personally popular and had amassed a big war chest ."
1,"For instance , if you had run this sort of screen in January 2007 , it probably would have classified MBIA , First Horizon ( NYSE : FHN ) , Thornburg Mortgage ( NYSE : TMA ) , and Washington Mutual ( NYSE : WM ) as value stocks ."
1,"`` The only thing I would say is , we could have done some of the education ourselves , and I would have done a request for proposal earlier , '' he said ."
1,"If he had called up King and said that he has to fix the Libor , and if he does n't this all goes public , then King would have no choice . '' `` I think this is a case of the central bankers being a good old boys club and that would be considered rude behavior ."
1,"`` Had Beechcraft not been best value , I do n't think you would hear a peep from anyone in the Kansas delegation , '' Pompeo told AOL Defense ."
1,"`` If my kid was disturbed and turned to the Internet , I would feel that I had failed as a parent , '' Goldenthal says ."
1,"Were it up to women , Mr Lokke Rasmussen would be crushed and Denmark would get its first female prime minister , with a handsome majority ."
1,"Termeer had hoped to keep Genzyme independent , fearing its patient-focused approach would be stifled for the reason that if it were acquired by a large pharmaceutical company ."
1,"If he were committed to `` open government , '' his Administration would not have invoked the state secrets doctrine to avoid accountability for torture and illegal surveillance ."
1,"It 's quite possible that if it were n't available for the iPhone at all or only offered a fraction of the features as the Android version - features , after all , that are often enabled or powered by the data Facebook collects - a significant portion of your user base would buy an Android phone instead ."
1,"That may very well be true , but for now the story is damaged , and there are reasonable concerns that it should n't have been published at all without more robust sourcing ."
1,"But Mr. Biden might have mitigated his difficulties had he moved earlier and in a more full-throated fashion to demonstrate his regret , other Democrats said.."
1,I wish there were 10 Daily Kos-style sites to cover the universe of great Democrats .
1,That would be less worrying if the term spread had bounced around and just happened to be at a low point .
1,"We did n't have the typical friendship - in fact , we never saw each other face-to-face ( I wish we had ) ."
1,"Unless Spains borrowing costs had fallen sharply , the government would be hard-pressed to make a turn on even deeply discounted banking assets ."
1,"Presumably , this student would not have complained if all late submissions had failed or at least had been assigned a number grade lower than the lowest ( or lower than his own ) of the on-time submissions ."
1,"To be sure , McCain could have given an even better answer in Lakeville if he had defended Arabs and Arab Americans ."
1,"If you had read on you would have seen that the actual percent of women who reported regret was rather low , suggesting that they we have come along way in regards to comfort with our sexuality ."
1,and Mexico would have made `` wonderful deals together '' if he had remained in the government .
1,"`` If we had done a project like everyone else - rectangular , simple - it would have sold in a month , but I want the site to be something singular that becomes a new icon for the city . ''"
1,"`` But , based on their daily blood sugar tests , the difference between the two groups should have only been 0.4 percent in a perfect world , the study authors said . ''"
1,If they had had the opportunity to apprentice others I 'm sure that there would be many more happy accountants there .
1,"Indeed , even after all the shots had been fired , he managed to drive away and to continue driving until he crashed.This would be a different case if petitioners had initiated a second round of shots after an initial round had clearly incapacitated Rickard and had ended any threat of continued flight , or if Rickard had clearly given himself up ."
1,"Had we included lab management requisitions in our volume calculation , organic volume growth would have been approximately 2.8 % ."
1,"Are there special memories you want to talk about together ? Were there moments , happy or sad , where you wish you had spoken up , asked for help or shared your feelings ? It will provoke a thoughtful exploration of your relationship , what 's working and where you can do better ."
1,LaHood said if he was still a member he would have taken Matthews 's advice to call out transportation-reticent pols on the House floor and name which bridges in their districts are deficient .
1,"`` I would have put my own wife or daughters there , and I would have been screaming bloody murder to watch them die . ''"
1,"`` believed it would have succeeded in such an attack , it would have done so already , '' he said ."
1,But in general things would work better if they were more coherent and more forthright .
1,We all confidently believe that we would have behaved differently if placed in the shoes of an executive engaging in malfeasance .
1,"Had Democrats owned a crystal ball and known in advance that Mr Trump would be their opponent they might have beaten him by picking a different mainstream candidate , for instance Vice-President Joe Biden ."
1,"Of those , the survey found that 18.7 % of respondents would have rescheduled their flight if not for it requiring a fee ."
1,"Had Amazon decided to tap into the provision , it would have given new ammunition to critics who say that Opportunity Zones - which are meant to spur new investment in areas in need - will essentially award tax advantages for ventures and activity that would have happened anyway ."
1,"The doctor said if we did n't catch the cancer early , you would have been dead by summer ."
1,This is impossible in any case and would arrest progress and development even if it were possible .
1,"`` If he had actually bought everything he said he had bought , then his performance would really have been what he pretended it to have been , '' Trauttenberg said ."
1,"Had what happened to my gut happened circa 2009-2013 , my options would 've been two-fold : 1 ) die and leave my money to my partner Michael ( now on an ACA plan of his own ) or 2 ) Wipe out my finances to fight the first cancer scare and be utterly unprepared for the second ."
1,"They would have said the same thing last March , too , if the President had made his announcement then - which he should have ."
1,`` There is no way that if I was a man and I had come in with those symptoms that I would have been turned away and told you just have anxiety . ''
1,"`` It is heartbreaking that an event which should have been fun for these youngsters on St. Patrick 's night should end in such a terrible tragedy , '' he said.."
1,"`` The economic policies Tsipras has to implement are definitely harsher than warranted , and also harsher than they would be if it was n't for these seven months of brinkmanship and extreme political uncertainty , '' Prof Manolis Galenianos , a professor of economics at the Royal Holloway , University of London , told Singapore 's Straits Times ."
1,"Is a plan that varies premiums by 30 % truly voluntary ? If Orion had adopted a 30 % plan , Wendy Schobert 's refusal to participate would have cost her about $ 1,500 over the year-much more if she had a family plan ."
1,"`` In retrospect , I should have , and this is all on me , by the way , I should have delayed it just a bit so I could talk to members of Congress�� ''"
1,It would be more enviable were it not completely involuntary and automatic .
1,"`` If Greece had gone bankrupt , there would have been a domino effect that would have affected everybody . ''"
1,"`` We should have considered the reputational risk over the financial risk , and we should have just ended the contract right then , pretty much no matter what it was going to cost us . ''"
1,"Where an impairment loss subsequently reverses , the carrying amount of the asset ( cash-generating unit ) is increased to the revised estimate of its recoverable amount , but so that the increased carrying amount does not exceed the carrying amount that would have been determined had no impairment loss been recognised for the asset ( cash-generating unit ) in prior periods ."
1,"However , of the 60 companies that disclosed pension deficits , 46 could have cleared their shortfalls by withholding a year 's dividends , according to the analysis ."
1,"Still , we 've made it very , very hard to bring explosives onto airplanes , and I think it makes sense to think that if we had n't made it so hard more people would have tried it ."
1,"But , if I were a reporter and I called somebody and they did n't call me back , I 'd probably be psychologically , maybe not even on purpose , I would probably be inclined to do bad stories ."
1,"If Republican lawmakers had any spine left , they would pass legislation to protect Mueller from being dismissed without cause ."
1,"If you had made a face too fast , consequently the computer would have asked you to stop and you would have to repeat it again ."
1,"Perhaps if I 'd had robust social support , if I 'd had collaborative health care that did n't depend on me being the driver , I could have continued to endure the high levels of fatigue I 'd grown used to ."
1,"Actress Gina Rodriguez said she almost married her fiancee Joe LoCicero after this year 's Golden Globes , gushing about getting caught up in the excitement and the beauty of the dress she had on , and saying it could have happened that night if she had n't had to work the next day ."
1,I made a commitment and I 've stuck by it but I think my children would have fared much better if I had divorced and made my own way .
1,Mr. Fasano said that consumers were sometimes paying three or four times as much when they used their insurance as they would have paid without it .
1,"Today 's decision may have been the prudent one , given the costs of unemployment , but I wish Mr Obama-who is unusually adept at explaining complex causal reasoning when he chooses to do so-had done just that rather than tried to hide it in the news cycle ."
1,"But it would have , if I had n't done what I did ."
1,"Granted , Obama could have ignored McConnell 's threat and gone ahead with his warnings , but he was well aware of the lengths McConnell would go to to poison the election-he was right in the middle of McConnell 's blockade of the Merrick Garland Supreme Court nomination and knew that there are no depths to which McConnell will not sink ."
1,"But this would suggest that gays should be forced to marry each other , if not for the fact that the Bible also thinks people who have gay sex should be killed , or will go to Hell ."
1,"Senator Moynihan could not have foreseen without his background that a president would abuse his powers by revoking a clearance , with no process at all , solely because the individual was exercising his First Amendment right to speak freely about policy issues ."
1,"My opponents should be required to limit their discussions to things I have done only during this particular campaign ; also , my opponents should not be allowed to bring up things I may have said or done during this campaign ."
1,"Had their not been video , we would 've believed the story that Officer Tensing created , that he was dragged by the car of Dubose-which he was n't ."
1,But this would have been a blatant attempt to stall and Republicans would have skewered him for it .
1,( No European system costs more than 12 % of GDP . ) Americans would be getting a terrible bargain even if their resulting health was as good as that of Europeans .
1,"According to our analysis of national survey data from the American National Election Studies ( a large , representative sample of the population of the United States ) , Hillary Clinton did better in the election than she would have if immigration had not been so prominent an issue ."
1,"We wish that there were , so we could make you feel better ."
1,"Had the Obama Administration ( thank you Michelle ! ) not lifted her up and allowed her to continue to publicly inspire , it seems she would be today making most of her living as a motivational speaker ."
1,"`` If I could wave a magic wand and change ( the start ) from 2014 to 2015 , I would , '' said Sandy Praeger , Kansas ' elected insurance commissioner , whose plan for a state partnership exchange was rejected by Gov . Sam Brownback ."
1,"Jayson : I told my colleagues , `` If you had handed me this earnings report the day before and said , you can go ahead and trade on this , I would have traded 180 degrees the wrong way . '' The growth is still flat except for international , but even the international growth is n't what it was ."
1,"Perhaps had Albert Ellis been subjected to psychoanalysis , or any sort of talking therapy that evaluated the impact of HIS past upon the present , then he might have had to face the uncomfortable truth that his parents appeared not to care for him ."
1,"If these guys really had political courage , they 'd stand straight up and say that George Bush 's job-killing tax cuts were the worst fiscal policy decision in our nation 's history ."
1,"Mark One is the maker of the Vessyl smart cup , or it would be if the product had n't been delayed to market for more than a year ."
1,"Right at that point , without a Washington insider on retainer , you could have missed your chance to cash in on the deals made between pro-renewables Democrats and Republican climate sceptics ."
1,If you say `` yes '' to the alternative financial product being pitched -- typically an annuity -- you 're apt to get a break on the cost of buying that product ; the salesperson might work up some approximated discount that 's close to the interest and bonus you would have `` earned '' from the CD .
1,segment is down 36 % year over year that decline would have been 45 % if it was n't for the benefit of acquisitions .
1,It also suggested that one in five voters supporting Mr. Perot would have sat out the election had he not been on the ballot..
1,"After the crisis , shareholders should have been on the lookout for egregious misallocations of capital while central banks were rigging the markets ."
1,"`` Could I have had superconsistent quads , could I have been stronger , if I had eaten then the way I do now ? '' Boitano said in a telephone interview ."
1,"`` If somebody had told me when I was a medical student in Dallas , Texas , that one day I would be teaching my patients to use singing bowls to heal themselves , I would have thought he or she was crazy , '' Dr. Gaynor wrote.."
1,That can be the end run that gets you into the Roth IRA that you would have chosen in the first place if you 'd had that direct option .
1,"Indeed , had Xeljanz not been on the market , respondents indicated that Entyvio could have gained an additional five percent of the recent UC switches , but these patients were ultimately prescribed Pfizer 's oral JAK inhibitor instead ."
1,"I had no idea that if I stopped using these pills , I would be left with more anxiety than I had ever felt ."
1,"REMEMBER : Bannon world was trying to tell reporters that if he had campaigned for Ed Gillespie in Virginia , he could 've won ."
1,"If this were a whodunit , he 'd be the obvious suspect that a reader would have long ago dismissed because he 's too obvious ."
1,"Although it would have been great if Castlight Health 's report had zeroed in on the return on investment question that bedevils this segment , the survey does raise some interesting questions ."
1,"If this seems briefer than NRA statements concerning other recent tragedies , it might be because it 's lacking any claim that `` if only '' the victims had been armed , this could have been avoided ."
1,"`` If it were working properly , the US gov't would pave the way for a bevy of social services and new jobs , which means more social mobility and more people receiving higher education . ''"
1,"We were mostly right about the hearings , but surely we should have anticipated that the Author of our crazy national melodrama had another narrative trick to play ."
1,"Much like how Zynga was forced to promptly write down the value of questionable acquisitions like OMGPOP , Microsoft would have had to impair Zynga 's value had it made the plunge ."
1,"But it did not ... . This would not have happened if , on May 5th , activists had not shut down the City Council meeting , forestalling a vote that day ."
1,"Looking at data from 2011-2012 , athletic departments at 99 major schools lost an average of $ 5 million once you take out revenue generated from `` student fees '' and `` university subsidies . '' If you take out `` contributions and donations '' -some of which might have gone to the universities had they not been lavished on the athletic departments-this drops to an average loss of $ 17 million , with just one school ( Army ) in the black ."
1,"If the president had fired Mr. Comey to stop the Russia investigation , the action would have been a national security issue because it naturally would have hurt the bureau 's effort to learn how Moscow interfered in the 2016 election and whether any Americans were involved , according to James A ."
1,"We have been fulfilling our role there . '' ON STEPPING UP BOND PURCHASES `` That is a matter for further consideration , but as you know we do n't precommit or even announce the type of policy that we pursue with the Securities Market Programme . '' `` You only have after each week the total amount that has been used , as you have seen that is according to developments in the market , in particular in passing a judgment on whether such developments can have some economic justification in the fundamentals of the economy or not . '' `` The program is still there and you have seen that in the more recent weeks in view of developments we have used a little bit more than in recent months . '' ON GREECE `` There are two elements there ( Greece ) ... in the first place the results for this year are in big part the result of the fact that the deficit of 2009 has been revised up . '' `` It is an automatic result that this makes it more difficult to achieve the target that was fixed when the deficit for 2009 was thought to be low . '' `` Even if the policies had been totally in line with what was foreseen initially , in the end the deficit would be higher because the starting point was worse than was known at the time ... '' `` What is essential , and we are really expecting that Greece will comply , is for them to maintain the same target for next year , which may involve certainly new policies that were not perhaps contemplated before . '' `` In spite of what happened this year , the target for next year should be kept ."
1,"I wish we were , but we are n't ."
1,"`` This struck NAME REDACTED as funny because , in contrast , he would not be able to sleep if he had just received a new iPad , '' the summary reads ."
1,Think of how naturally and easily your doctor and fire chief would work together - or not - had they never met .
1,"`` An earlier version of the bill would have let drug makers use quicker measures for a drug 's effectiveness during testing , should it have been implemented that is - for example , changes in blood sugar level instead of a more final outcome , like development of diabetes . ''"
1,"Had the justices taken up a k-12 case , `` the most likely candidate would have been special education , because it has been the only major growth area of education litigation , '' Lehigh University Professor Perry A ."
